AppID,Total_Reviews,Error_Keyword_Reviews,Error_Keyword_Percentage
236390,1,0,0.0
236850,100,2,2.0
237310,36,3,8.333333333333332
237930,33,1,3.0303030303030303
238090,29,3,10.344827586206897
238320,100,4,4.0
238370,12,1,8.333333333333332
238460,66,1,1.5151515151515151
238960,100,10,10.0
239030,100,7,7.000000000000001
239200,17,2,11.76470588235294
239350,20,2,10.0
239820,52,1,1.9230769230769231
240720,100,9,9.0
241600,17,0,0.0
241930,100,10,10.0
242050,100,18,18.0
242640,40,5,12.5
242720,28,6,21.428571428571427
242760,99,16,16.161616161616163
242860,20,1,5.0
242920,70,6,8.571428571428571
243470,100,15,15.0
244210,100,9,9.0
244450,84,3,3.571428571428571
244850,100,20,20.0
245170,35,0,0.0
245620,12,0,0.0
246620,100,4,4.0
246900,43,3,6.976744186046512
247080,56,5,8.928571428571429
248570,94,0,0.0
248820,19,0,0.0
249130,93,4,4.301075268817205
250400,3,0,0.0
250900,100,6,6.0
251060,17,0,0.0
251570,100,21,21.0
252130,2,0,0.0
252490,100,8,8.0
252530,17,1,5.88235294117647
252950,100,18,18.0
253710,100,9,9.0
253900,1,1,100.0
253980,3,0,0.0
255710,100,16,16.0
257350,30,3,10.0
257510,62,4,6.451612903225806
259080,37,4,10.81081081081081
261110,9,1,11.11111111111111
261550,100,14,14.000000000000002
261570,23,1,4.3478260869565215
262060,100,14,14.000000000000002
262280,2,1,50.0
262410,2,0,0.0
263500,10,0,0.0
264710,100,12,12.0
265210,6,1,16.666666666666664
265590,3,1,33.33333333333333
265630,100,9,9.0
265930,100,4,4.0
266840,46,0,0.0
268420,70,6,8.571428571428571
268500,100,13,13.0
268910,100,8,8.0
269210,100,26,26.0
270150,12,1,8.333333333333332
270880,100,11,11.0
272060,29,2,6.896551724137931
274170,100,5,5.0
274190,60,4,6.666666666666667
275390,8,0,0.0
275850,99,9,9.090909090909092
278080,12,0,0.0
278360,16,0,0.0
279720,3,0,0.0
281990,100,18,18.0
282140,100,8,8.0
282440,20,0,0.0
284160,100,30,30.0
285190,42,1,2.380952380952381
285800,3,1,33.33333333333333
285900,100,3,3.0
286160,100,2,2.0
286570,100,62,62.0
286690,100,19,19.0
287390,100,14,14.000000000000002
287450,45,1,2.2222222222222223
289070,100,6,6.0
289130,18,4,22.22222222222222
289650,99,44,44.44444444444444
291550,5,0,0.0
291650,79,9,11.39240506329114
292910,6,0,0.0
293540,11,1,9.090909090909092
294100,100,4,4.0
295110,1,0,0.0
297000,58,2,3.4482758620689653
298110,100,12,12.0
298240,74,10,13.513513513513514
298630,22,0,0.0
299360,1,0,0.0
301520,100,22,22.0
301640,30,4,13.333333333333334
302670,47,4,8.51063829787234
302830,91,8,8.791208791208792
303390,4,0,0.0
304050,1,0,0.0
304240,100,12,12.0
304390,99,12,12.121212121212121
304430,100,1,1.0
304670,1,0,0.0
304930,3,0,0.0
305620,100,15,15.0
308040,1,1,100.0
308600,1,0,0.0
310560,4,1,25.0
310950,10,1,10.0
311560,99,6,6.0606060606060606
311690,100,10,10.0
311860,1,0,0.0
312520,100,12,12.0
312530,34,2,5.88235294117647
312660,100,4,4.0
312990,53,1,1.8867924528301887
314160,47,3,6.382978723404255
316010,100,43,43.0
317360,85,7,8.235294117647058
319510,100,5,5.0
319830,23,4,17.391304347826086
322170,100,3,3.0
322330,100,13,13.0
322500,65,3,4.615384615384616
323470,7,0,0.0
323580,6,2,33.33333333333333
323850,7,0,0.0
324800,24,2,8.333333333333332
325610,76,8,10.526315789473683
327690,12,0,0.0
330020,55,7,12.727272727272727
331470,50,2,4.0
332070,16,3,18.75
333930,100,29,28.999999999999996
334210,100,18,18.0
334230,39,2,5.128205128205128
335240,83,1,1.2048192771084338
337320,99,2,2.0202020202020203
339280,23,1,4.3478260869565215
339610,78,11,14.102564102564102
341800,51,2,3.9215686274509802
342200,2,0,0.0
346010,94,5,5.319148936170213
346110,100,24,24.0
346330,34,3,8.823529411764707
346900,100,6,6.0
349040,55,2,3.6363636363636362
349700,25,0,0.0
350640,9,4,44.44444444444444
351940,1,0,0.0
355180,100,3,3.0
359320,100,10,10.0
359550,99,22,22.22222222222222
360970,1,0,0.0
361420,100,14,14.000000000000002
362890,100,13,13.0
363970,100,5,5.0
364360,28,1,3.571428571428571
365450,33,1,3.0303030303030303
365590,100,12,12.0
